,1,2,3,4,5,6,7,8,9,10,sense,rhs
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
4,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,<=,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,<=,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,<=,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,<=,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,<=,0.0
10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<=,1.0
11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,<=,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,<=,1.0
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,<=,1.0
16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<=,1.0
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<=,1.0
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<=,1.0
19,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,<=,2.0
20,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,<=,2.0
21,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,<=,3.0
22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,<=,3.0
23,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,<=,3.0
24,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,<=,3.0
25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,<=,3.0
26,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,<=,3.0
27,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,<=,3.0
28,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,<=,3.0
29,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,<=,3.0
30,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,<=,3.0
31,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,<=,3.0
