,1,2,3,4,5,6,7,8,9,10,sense,rhs
0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
4,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,<=,0.0
5,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,<=,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,<=,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,<=,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,<=,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,<=,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<=,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,<=,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<=,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,<=,1.0
14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<=,1.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<=,1.0
20,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,<=,4.0
21,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,<=,4.0
22,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,<=,4.0
23,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,<=,4.0
24,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,<=,4.0
25,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,<=,4.0
26,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,<=,4.0
27,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,<=,4.0
28,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,<=,4.0
29,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,<=,4.0
30,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,<=,5.0
31,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,<=,5.0
